City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
130,Nayoro,JP,light snow,20.71,44.35,142.46,大雪荘
169,Grindavik,IS,light snow,32.0,63.84,-22.43,Northern Light Inn & Max's Restaurant
193,Rudnichnyy,RU,light snow,29.61,59.62,52.47,
235,Teya,RU,light snow,23.47,60.38,92.63,
244,Gayny,RU,light snow,28.74,60.31,54.32,
326,Turukhansk,RU,light snow,26.65,65.82,87.98,"ООО ""Туруханская пушнина"""
349,Novaya Igirma,RU,light snow,24.76,57.13,103.91,Tayga
351,Baykit,RU,light snow,20.35,61.67,96.37,Gostinitsa
354,Yerbogachen,RU,light snow,22.59,61.28,108.01,
389,Yeniseysk,RU,light snow,26.38,58.45,92.17,"""Domino"""
407,Nadym,RU,light snow,20.77,65.53,72.52,Apartment on Zvereva
419,Krasnoselkup,RU,light snow,25.43,65.7,82.47,Krasnosel'kupnefteprodukt
474,Kowary,PL,snow,39.0,50.79,15.84,Hotel Jelenia Struga Medical SPA
533,Nizhnyaya Poyma,RU,light snow,27.37,56.16,97.19,Gostinitsa
